author,author-pid,top_venue_count,total_weight,closeness_centrality,normalized_degree_centrality
Kunqing Xie,4901,2,11,0.2656610660797681,0.0011208477684939882
Qi Zhao 0001,05/490-1,2,11,0.2619974059662776,0.0011208477684939882
Seongyun Ko,181/5722,2,11,0.25215264686401384,0.0011208477684939882
Changjiu Jin,38/8165,2,11,0.26203902258226774,0.0011208477684939882
Xiang Wang 0010,31/2864-10,2,11,0.2580022938171202,0.0011208477684939882
Shuang Wu,85/3231,2,10,0.2832613112783676,0.0010189525168127166
Jun He,75/5705,2,10,0.25797539616346954,0.0010189525168127166
Raj Kumar Gupta,60/6029,2,9,0.24081553209089582,0.0009170572651314449
Shumo Chu,29/9582,2,9,0.2463598576299873,0.0009170572651314449
Kai Kang,69/6765,2,9,0.24336751001942417,0.0009170572651314449
Meishan Hu,98/2782,2,9,0.2610438589550861,0.0009170572651314449
David Uminsky,744762,2,9,0.18055124860910965,0.0009170572651314449
Roberto Cipolla,c/RobertoCipolla,2,8,0.24145585831727367,0.0008151620134501732
Jiong Yang,64/5141,2,8,0.2631117254578803,0.0008151620134501732
Jacob Chan,186/8252,2,8,0.21057782316398604,0.0008151620134501732
Jimmy Addison Lee,33/3919,2,8,0.21057782316398604,0.0008151620134501732
Yinglong Song,192/4763,2,8,0.2529129190515127,0.0008151620134501732
Ling Shen,18/6196,2,8,0.26537615957960214,0.0008151620134501732
William Hutama,81/9541,2,7,0.24409371146732428,0.0007132667617689016
Min Xie,36/844,2,7,0.23186300920611866,0.0007132667617689016
Xiang Chen,64/3062,2,6,0.2716991490529783,0.0006113715100876299
Surendra Sedhai,147/9076,2,6,0.2603572086171976,0.0006113715100876299
Grace E. Lee,174/6820,2,5,0.2603572086171976,0.0005094762584063583
A. Prasad Vinod,92/249,0,159,0.2852778418261471,0.01620134501732219
Rajendra Prasad Sirigina,82/8861,0,90,0.23303668126383198,0.009170572651314449
Anoop Kumar Krishna,56/954,0,63,0.23304765492559804,0.006419400855920114
Francois P. S. Chin,c/FrancoisPSChin,0,107,0.2418806969526649,0.010902791929896067
Walid Saad,41/6237,0,88,0.2701566679403898,0.008966782147951905
A. Benjamin Premkumar,81/2641,0,148,0.2629369886303262,0.015080497248828205
Ying-Chang Liang,98/153,0,170,0.3068956963909215,0.01732219278581618
Yutao Jiao,159/1492,0,82,0.30227515651244463,0.008355410637864276
Daniel Thalmann,t/DanielThalmann,0,83,0.31037942928817813,0.008457305889545547
Shivam Bhasin,94/7837,0,154,0.28217920574735583,0.015691868758915834
Debjyoti Bhattacharjee,160/7918,0,78,0.25029712985206726,0.00794782963113919
Prasanna Ravi,153/2475,0,72,0.26341281669150524,0.007336458121051559
