author,author-pid,year,Position,Gender,Management,Area,top_venue_count,co-author-pid,weight,paper-list,Faculty-co-author,Position-co-author,Gender-co-author,Management-co-author,Area-co-author
Dusit Niyato,76/440,2019.0,Professor,M,N,Computer Networks,0.0,35/1096-1,2.0,"['conf/apwcs2/KangXN0LK19', 'journals/corr/abs-1905-07479']",Yu Han,Assistant Professor,M,N,AI/ML
Jun Zhao 0007,47/2026-7,2019.0,Assistant Professor,M,N,Computer Networks,0.0,35/1096-1,1.0,['journals/corr/abs-1911-12060'],Yu Han,Assistant Professor,M,N,AI/ML
Kwok-Yan Lam,10/1993,2019.0,Professor,M,N,Cyber Security,0.0,35/1096-1,1.0,['journals/corr/abs-1911-12060'],Yu Han,Assistant Professor,M,N,AI/ML
Chunyan Miao,m/ChunyanMiao,2019.0,Professor,F,Y,AI/ML,0.0,35/1096-1,8.0,"['journals/tist/WangZYM19', 'conf/aies/YuMZCFL19', 'conf/cikm/LiuD0SGWZRXCM19', 'conf/ijcai/Guo0MC19', 'conf/ijcai/Zeng0GOHHSZM19', 'conf/ijcai/Zheng0ZSLM19', 'journals/corr/abs-1901-00298', 'journals/corr/abs-1908-11588']",Yu Han,Assistant Professor,M,N,AI/ML
Zhiqi Shen,03/1554,2019.0,Senior Lecturer,M,N,AI/ML,0.0,35/1096-1,5.0,"['conf/cikm/LiuD0SGWZRXCM19', 'journals/corr/abs-1908-11588', 'conf/atal/YuSCZL19', 'conf/mm/DongLS0GWZRX19', 'conf/mmasia/Dong0SGWZRX0H19']",Yu Han,Assistant Professor,M,N,AI/ML
Dusit Niyato,76/440,2019.0,Professor,M,N,Computer Networks,0.0,m/ChunyanMiao,1.0,['journals/corr/abs-1909-11875'],Miao Chunyan,Professor,F,Y,AI/ML
Ah-Hwee Tan,38/3641,2019.0,Professor,M,Y,AI/ML,0.0,m/ChunyanMiao,3.0,"['journals/ijon/ParmarWZTMJZ19', 'journals/nn/MengTM19', 'conf/aaai/0004TMM19']",Miao Chunyan,Professor,F,Y,AI/ML
Han Yu 0001,35/1096-1,2019.0,Assistant Professor,M,N,AI/ML,0.0,m/ChunyanMiao,8.0,"['journals/tist/WangZYM19', 'conf/aies/YuMZCFL19', 'conf/cikm/LiuD0SGWZRXCM19', 'conf/ijcai/Guo0MC19', 'conf/ijcai/Zeng0GOHHSZM19', 'conf/ijcai/Zheng0ZSLM19', 'journals/corr/abs-1901-00298', 'journals/corr/abs-1908-11588']",Miao Chunyan,Professor,F,Y,AI/ML
Sinno Jialin Pan,80/5412,2019.0,Associate Professor,M,N,AI/ML,1.0,m/ChunyanMiao,2.0,"['conf/aaai/QianPM19', 'conf/ijcai/QianPDM19']",Miao Chunyan,Professor,F,Y,AI/ML
Zhiqi Shen,03/1554,2019.0,Senior Lecturer,M,N,AI/ML,0.0,m/ChunyanMiao,5.0,"['conf/aaai/ZengMLSC19', 'conf/chiplay/00490MSL19', 'conf/cikm/LiuD0SGWZRXCM19', 'conf/hci/ZhangM0TS19', 'journals/corr/abs-1908-11588']",Miao Chunyan,Professor,F,Y,AI/ML
Hanwang Zhang,79/8116,2019.0,Assistant Professor,M,N,Computer Vision,4.0,m/ChunyanMiao,1.0,['conf/mm/MengCYTZMC19'],Miao Chunyan,Professor,F,Y,AI/ML
Jun Zhao 0007,47/2026-7,2019.0,Assistant Professor,M,N,Computer Networks,0.0,10/1993,3.0,"['journals/corr/abs-1911-03298', 'conf/ipccc/WangYRZL19', 'journals/corr/abs-1911-12060']",,,,,
