author,author-pid,paper,top_venue_count,co-author-pid,total_weight,weight,closeness_centrality,normalized_degree_centrality,year,conference,title,Faculty,Position,Gender,Management,Area
Xifeng Yan,y/XifengYan,conf/sigmod/KhanYW10,3,85/3566,44,1,0.241408746,0.000466492,2010,,,,,,,
Pratanu Roy,27/10432,conf/sigmod/RoyKA16,1,a/GustavoAlonso,2,1,0.225348906,2.12E-05,2016,,,,,,,
Pratanu Roy,27/10432,conf/sigmod/RoyKA16,1,67/2933,2,1,0.225348906,2.12E-05,2016,,,,,,,
Gustavo Alonso,a/GustavoAlonso,conf/sigmod/RoyKA16,1,27/10432,2,1,0.225348906,2.12E-05,2016,,,,,,,
Gustavo Alonso,a/GustavoAlonso,conf/sigmod/RoyKA16,1,67/2933,2,1,0.225348906,2.12E-05,2016,,,,,,,
Francesco Bonchi,b/FBonchi,conf/cikm/KhanGWB15,1,169/1809,18,1,0.256897402,0.000190838,2015,,,,,,,
Chengkai Li,14/3692,conf/icde/JayaramGKLYE14,1,92/9574,25,1,0.257659768,0.000265052,2014,,,,,,,
Xifeng Yan,y/XifengYan,conf/icde/JayaramGKLYE14,3,92/9574,44,1,0.241408746,0.000466492,2014,,,,,,,
Pouya Yanki,147/1261,conf/sigmod/KhanYDK14,1,147/1238,3,1,0.225354037,3.18E-05,2014,,,,,,,
Pouya Yanki,147/1261,conf/sigmod/KhanYDK14,1,k/DonaldKossmann,3,1,0.225354037,3.18E-05,2014,,,,,,,
Pouya Yanki,147/1261,conf/sigmod/KhanYDK14,1,67/2933,3,1,0.225354037,3.18E-05,2014,,,,,,,
Bojana Dimcheva,147/1238,conf/sigmod/KhanYDK14,1,147/1261,3,1,0.225354037,3.18E-05,2014,,,,,,,
Bojana Dimcheva,147/1238,conf/sigmod/KhanYDK14,1,k/DonaldKossmann,3,1,0.225354037,3.18E-05,2014,,,,,,,
Bojana Dimcheva,147/1238,conf/sigmod/KhanYDK14,1,67/2933,3,1,0.225354037,3.18E-05,2014,,,,,,,
Xifeng Yan,y/XifengYan,conf/icde/KhanWY12,3,32/6122,44,2,0.241408746,0.000466492,2012,,,,,,,
Xifeng Yan,y/XifengYan,conf/sdm/AggarwalKY11,3,a/CharuCAggarwal,44,2,0.241408746,0.000466492,2011,,,,,,,
Nan Li,84/3795,conf/sigmod/KhanLYGCT11,1,y/XifengYan,44,2,0.263855197,0.000466492,2011,,,,,,,
Nan Li,84/3795,conf/sigmod/KhanLYGCT11,1,67/2933,44,2,0.263855197,0.000466492,2011,,,,,,,
Nan Li,84/3795,conf/sigmod/KhanLYGCT11,1,43/6970,44,1,0.263855197,0.000466492,2011,,,,,,,
Nan Li,84/3795,conf/sigmod/KhanLYGCT11,1,14/7588,44,1,0.263855197,0.000466492,2011,,,,,,,
Nan Li,84/3795,conf/sigmod/KhanLYGCT11,1,64/4055,44,1,0.263855197,0.000466492,2011,,,,,,,
Nan Li,84/3795,conf/cikm/LiYWK12,1,53/5888,44,1,0.263855197,0.000466492,2012,,,,,,,
Xifeng Yan,y/XifengYan,conf/sigmod/KhanLYGCT11,3,84/3795,44,2,0.241408746,0.000466492,2011,,,,,,,
Xifeng Yan,y/XifengYan,conf/sigmod/KhanLYGCT11,3,64/4055,44,2,0.241408746,0.000466492,2011,,,,,,,
Xifeng Yan,y/XifengYan,conf/sigmod/KhanLYGCT11,3,43/6970,44,1,0.241408746,0.000466492,2011,,,,,,,
Xifeng Yan,y/XifengYan,conf/sigmod/KhanLYGCT11,3,14/7588,44,1,0.241408746,0.000466492,2011,,,,,,,
Xifeng Yan,y/XifengYan,conf/cikm/LiYWK12,3,53/5888,44,1,0.241408746,0.000466492,2012,,,,,,,
Xifeng Yan,y/XifengYan,conf/noms/KhanYTA12,3,a/NikosAnerousis,44,1,0.241408746,0.000466492,2012,,,,,,,
Shu Tao,64/4055,conf/sigmod/KhanLYGCT11,1,y/XifengYan,8,2,0.232811949,8.48E-05,2011,,,,,,,
Shu Tao,64/4055,conf/sigmod/KhanLYGCT11,1,67/2933,8,2,0.232811949,8.48E-05,2011,,,,,,,
Shu Tao,64/4055,conf/sigmod/KhanLYGCT11,1,84/3795,8,1,0.232811949,8.48E-05,2011,,,,,,,
Shu Tao,64/4055,conf/sigmod/KhanLYGCT11,1,43/6970,8,1,0.232811949,8.48E-05,2011,,,,,,,
Shu Tao,64/4055,conf/sigmod/KhanLYGCT11,1,14/7588,8,1,0.232811949,8.48E-05,2011,,,,,,,
Shu Tao,64/4055,conf/noms/KhanYTA12,1,a/NikosAnerousis,8,1,0.232811949,8.48E-05,2012,,,,,,,
Shengqi Yang,1054031,conf/sigmod/YangYZK12,1,y/XifengYan,3,1,0.225354037,3.18E-05,2012,,,,,,,
Shengqi Yang,1054031,conf/sigmod/YangYZK12,1,14/8203,3,1,0.225354037,3.18E-05,2012,,,,,,,
Shengqi Yang,1054031,conf/sigmod/YangYZK12,1,67/2933,3,1,0.225354037,3.18E-05,2012,,,,,,,
Xifeng Yan,y/XifengYan,conf/sigmod/YangYZK12,3,1054031,44,1,0.241408746,0.000466492,2012,,,,,,,
Xifeng Yan,y/XifengYan,conf/sigmod/YangYZK12,3,14/8203,44,1,0.241408746,0.000466492,2012,,,,,,,
Bo Zong,14/8203,conf/sigmod/YangYZK12,1,1054031,3,1,0.225354037,3.18E-05,2012,,,,,,,
Bo Zong,14/8203,conf/sigmod/YangYZK12,1,y/XifengYan,3,1,0.225354037,3.18E-05,2012,,,,,,,
Bo Zong,14/8203,conf/sigmod/YangYZK12,1,67/2933,3,1,0.225354037,3.18E-05,2012,,,,,,,
Ziyu Guan,43/6970,conf/sigmod/KhanLYGCT11,1,84/3795,5,1,0.232806473,5.30E-05,2011,,,,,,,
Ziyu Guan,43/6970,conf/sigmod/KhanLYGCT11,1,y/XifengYan,5,1,0.232806473,5.30E-05,2011,,,,,,,
Ziyu Guan,43/6970,conf/sigmod/KhanLYGCT11,1,14/7588,5,1,0.232806473,5.30E-05,2011,,,,,,,
Ziyu Guan,43/6970,conf/sigmod/KhanLYGCT11,1,64/4055,5,1,0.232806473,5.30E-05,2011,,,,,,,
Ziyu Guan,43/6970,conf/sigmod/KhanLYGCT11,1,67/2933,5,1,0.232806473,5.30E-05,2011,,,,,,,
Supriyo Chakraborty,14/7588,conf/sigmod/KhanLYGCT11,1,84/3795,5,1,0.232806473,5.30E-05,2011,,,,,,,
Supriyo Chakraborty,14/7588,conf/sigmod/KhanLYGCT11,1,y/XifengYan,5,1,0.232806473,5.30E-05,2011,,,,,,,
Supriyo Chakraborty,14/7588,conf/sigmod/KhanLYGCT11,1,43/6970,5,1,0.232806473,5.30E-05,2011,,,,,,,
Supriyo Chakraborty,14/7588,conf/sigmod/KhanLYGCT11,1,64/4055,5,1,0.232806473,5.30E-05,2011,,,,,,,
Supriyo Chakraborty,14/7588,conf/sigmod/KhanLYGCT11,1,67/2933,5,1,0.232806473,5.30E-05,2011,,,,,,,
Kun-Lung Wu,85/3566,conf/sigmod/KhanYW10,1,y/XifengYan,2,1,0.225348906,2.12E-05,2010,,,,,,,
Kun-Lung Wu,85/3566,conf/sigmod/KhanYW10,1,67/2933,2,1,0.225348906,2.12E-05,2010,,,,,,,
Lei Feng,76/847,journals/corr/abs-2102-06879,2,256/5052,72,1,0.278801194,0.000763351,2021,,,,,,,
Lei Feng,76/847,journals/corr/abs-2102-06879,2,273019,72,1,0.278801194,0.000763351,2021,,,,,,,
Lei Feng,76/847,journals/corr/abs-2012-00925,2,26/3367-1,72,6,0.278801194,0.000763351,2020,,,,,,,
Lei Feng,76/847,journals/corr/abs-2012-00925,2,241/0472-3,72,5,0.278801194,0.000763351,2020,,,,,,,
Lei Feng,76/847,journals/corr/abs-2012-00925,2,77/7826,72,1,0.278801194,0.000763351,2020,,,,,,,
Lei Feng,76/847,journals/corr/abs-2012-00925,2,68/1974-2,72,1,0.278801194,0.000763351,2020,,,,,,,
Lei Feng,76/847,journals/corr/abs-2012-00925,2,34/10089,72,1,0.278801194,0.000763351,2020,,,,,,,
Lei Feng,76/847,journals/corr/abs-2010-01875,2,35/1228,72,5,0.278801194,0.000763351,2020,,,,,,,
Lei Feng,76/847,journals/corr/abs-2010-01875,2,257/5650,72,2,0.278801194,0.000763351,2020,,,,,,,
Lei Feng,76/847,journals/corr/abs-2010-01875,2,42/3241,72,3,0.278801194,0.000763351,2020,,,,,,,
Lei Feng,76/847,journals/corr/abs-2010-01875,2,14/4965,72,1,0.278801194,0.000763351,2020,,,,,,,
Lei Feng,76/847,conf/ijcai/FengA18,2,42/6178-1,72,17,0.278801194,0.000763351,2018,,,,,,,
Gang Niu 0001,26/3367-1,journals/corr/abs-2102-06879,1,256/5052,37,1,0.260995676,0.000392277,2021,,,,,,,
Gang Niu 0001,26/3367-1,journals/corr/abs-2102-06879,1,273019,37,1,0.260995676,0.000392277,2021,,,,,,,
Gang Niu 0001,26/3367-1,journals/corr/abs-2012-00925,1,76/847,37,6,0.260995676,0.000392277,2020,,,,,,,
Gang Niu 0001,26/3367-1,journals/corr/abs-2012-00925,1,42/6178-1,37,6,0.260995676,0.000392277,2020,,,,,,,
Gang Niu 0001,26/3367-1,journals/corr/abs-2012-00925,1,241/0472-3,37,5,0.260995676,0.000392277,2020,,,,,,,
Gang Niu 0001,26/3367-1,journals/corr/abs-2012-00925,1,77/7826,37,1,0.260995676,0.000392277,2020,,,,,,,
Gang Niu 0001,26/3367-1,journals/corr/abs-2012-00925,1,68/1974-2,37,1,0.260995676,0.000392277,2020,,,,,,,
Gang Niu 0001,26/3367-1,journals/corr/abs-2012-00925,1,34/10089,37,1,0.260995676,0.000392277,2020,,,,,,,
Gang Niu 0001,26/3367-1,journals/corr/abs-2010-01875,1,35/1228,37,5,0.260995676,0.000392277,2020,,,,,,,
Gang Niu 0001,26/3367-1,journals/corr/abs-2010-01875,1,42/3241,37,3,0.260995676,0.000392277,2020,,,,,,,
Gang Niu 0001,26/3367-1,journals/corr/abs-2010-01875,1,257/5650,37,1,0.260995676,0.000392277,2020,,,,,,,
Gang Niu 0001,26/3367-1,journals/corr/abs-2010-01875,1,14/4965,37,1,0.260995676,0.000392277,2020,,,,,,,
Masashi Sugiyama,35/1228,journals/corr/abs-2102-06879,1,256/5052,32,1,0.268653476,0.000339267,2021,,,,,,,
Masashi Sugiyama,35/1228,journals/corr/abs-2102-06879,1,273019,32,1,0.268653476,0.000339267,2021,,,,,,,
Masashi Sugiyama,35/1228,journals/corr/abs-2010-01875,1,76/847,32,5,0.268653476,0.000339267,2020,,,,,,,
